Sat Jan 20 04:56:58 PM UTC 2024
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 25600, 0.716981, 0.233877, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 25600, 0.708521, 0.226992, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 25600, 0.715546, 0.228607, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 25600, 0.724546, 0.226224, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 25600, 0.906791, 0.264725, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 25600, 0.709563, 0.230633, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 25600, 0.919376, 0.225766, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 25600, 0.713585, 0.230193, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 25600, 0.710637, 0.231239, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 25600, 0.723716, 0.260498, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 25600, 0.710661, 0.228062, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 25600, 0.926523, 0.278579, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 25600, 0.702235, 0.233167, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 25600, 0.809364, 0.227591, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 25600, 0.730927, 0.231214, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 25600, 0.700166, 0.230536, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 25600, 0.851111, 0.273725, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 25600, 0.707510, 0.225672, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 25600, 0.927243, 0.273920, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 25600, 0.703142, 0.235847, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 128000, 0.715860, 0.181726, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 128000, 0.714801, 0.181850, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 128000, 0.706645, 0.181982, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 128000, 0.821623, 0.180574, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 128000, 0.716766, 0.182249, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 128000, 0.929352, 0.184729, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 128000, 0.717473, 0.182674, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 128000, 0.891580, 0.181650, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 128000, 0.712484, 0.182734, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 128000, 0.710308, 0.182420, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 128000, 0.695785, 0.182515, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 128000, 0.719817, 0.182828, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
100000000, 128000, 0.950932, 0.182393, 0.000000
inputLength, segmentSize, cpu_exec (s), gpu_exec (s), differece
